Cipher,Phase,Key Length,Text Length,Square Dimension,Time (ms)
Rail Fence,Encryption,50,1000,,0.49660205841064453
Rail Fence,Decryption,50,1000,,7.133340835571289
Rail Fence,Encryption,2,5000,,2.2083616256713867
Rail Fence,Decryption,2,5000,,4.138798713684082
Rail Fence,Encryption,4,5000,,2.237858772277832
Rail Fence,Decryption,4,5000,,5.940794944763184
Rail Fence,Encryption,6,5000,,2.272162437438965
Rail Fence,Decryption,6,5000,,6.567540168762207
Rail Fence,Encryption,8,5000,,2.223076820373535
Rail Fence,Decryption,8,5000,,7.019281387329102
Rail Fence,Encryption,10,5000,,2.1152210235595703
Rail Fence,Decryption,10,5000,,8.416619300842285
Rail Fence,Encryption,20,5000,,2.400498390197754
Rail Fence,Decryption,20,5000,,13.60260009765625
Rail Fence,Encryption,50,5000,,3.0358171463012695
Rail Fence,Decryption,50,5000,,26.899662017822266
Rail Fence,Encryption,2,10000,,5.131645202636719
Rail Fence,Decryption,2,10000,,9.15804386138916
Rail Fence,Encryption,4,10000,,4.8929548263549805
Rail Fence,Decryption,4,10000,,11.03893756866455
Rail Fence,Encryption,6,10000,,4.37809944152832
Rail Fence,Decryption,6,10000,,12.68742561340332
Rail Fence,Encryption,8,10000,,4.666376113891602
Rail Fence,Decryption,8,10000,,14.320235252380371
Rail Fence,Encryption,10,10000,,4.5142412185668945
Rail Fence,Decryption,10,10000,,17.494444847106934
Rail Fence,Encryption,20,10000,,5.129714012145996
Rail Fence,Decryption,20,10000,,28.857879638671875
Rail Fence,Encryption,50,10000,,5.85446834564209
Rail Fence,Decryption,50,10000,,47.78578281402588
ADFGVX,Encryption,2,100,15.0,0.1047372817993164
ADFGVX,Decryption,2,100,15.0,0.059223175048828125
ADFGVX,Encryption,4,100,15.0,0.10546207427978516
ADFGVX,Decryption,4,100,15.0,0.14646530151367188
ADFGVX,Encryption,6,100,15.0,0.05104541778564453
ADFGVX,Decryption,6,100,15.0,0.059757232666015625
ADFGVX,Encryption,8,100,15.0,0.051703453063964844
ADFGVX,Decryption,8,100,15.0,0.12377738952636719
ADFGVX,Encryption,10,100,15.0,0.1065969467163086
ADFGVX,Decryption,10,100,15.0,0.07415771484375
ADFGVX,Encryption,20,100,15.0,0.06889820098876953
ADFGVX,Decryption,20,100,15.0,0.0603485107421875
ADFGVX,Encryption,50,100,15.0,0.26573657989501953
ADFGVX,Decryption,50,100,15.0,0.06199836730957031
ADFGVX,Encryption,2,500,32.0,0.7210636138916016
ADFGVX,Decryption,2,500,32.0,0.9203386306762695
ADFGVX,Encryption,4,500,32.0,0.25988101959228516
ADFGVX,Decryption,4,500,32.0,0.7960987091064453
ADFGVX,Encryption,6,500,32.0,0.2471780776977539
ADFGVX,Decryption,6,500,32.0,0.4696798324584961
ADFGVX,Encryption,8,500,32.0,0.2739572525024414
ADFGVX,Decryption,8,500,32.0,0.3238821029663086
ADFGVX,Encryption,10,500,32.0,0.23326396942138672
ADFGVX,Decryption,10,500,32.0,0.48607826232910156
ADFGVX,Encryption,20,500,32.0,0.3544759750366211
ADFGVX,Decryption,20,500,32.0,0.44495582580566406
ADFGVX,Encryption,50,500,32.0,0.3927803039550781
ADFGVX,Decryption,50,500,32.0,0.47016143798828125
ADFGVX,Encryption,2,1000,45.0,0.6180191040039062
ADFGVX,Decryption,2,1000,45.0,0.9572792053222656
ADFGVX,Encryption,4,1000,45.0,0.6059789657592773
ADFGVX,Decryption,4,1000,45.0,0.897216796875
ADFGVX,Encryption,6,1000,45.0,0.6075239181518555
ADFGVX,Decryption,6,1000,45.0,0.8817768096923828
ADFGVX,Encryption,8,1000,45.0,0.7596969604492188
ADFGVX,Decryption,8,1000,45.0,1.3331079483032227
ADFGVX,Encryption,10,1000,45.0,1.1104154586791992
ADFGVX,Decryption,10,1000,45.0,1.393122673034668
ADFGVX,Encryption,20,1000,45.0,0.6226253509521484
ADFGVX,Decryption,20,1000,45.0,1.1550331115722656
ADFGVX,Encryption,50,1000,45.0,1.012282371520996
ADFGVX,Decryption,50,1000,45.0,1.0975837707519531
ADFGVX,Encryption,2,5000,100.0,4.464535713195801
ADFGVX,Decryption,2,5000,100.0,4.799261093139648
ADFGVX,Encryption,4,5000,100.0,3.9731597900390625
ADFGVX,Decryption,4,5000,100.0,5.039381980895996
ADFGVX,Encryption,6,5000,100.0,4.105515480041504
ADFGVX,Decryption,6,5000,100.0,4.78543758392334
ADFGVX,Encryption,8,5000,100.0,4.124741554260254
ADFGVX,Decryption,8,5000,100.0,5.099153518676758
ADFGVX,Encryption,10,5000,100.0,3.704376220703125
ADFGVX,Decryption,10,5000,100.0,5.203900337219238
ADFGVX,Encryption,20,5000,100.0,3.701601028442383
ADFGVX,Decryption,20,5000,100.0,5.043778419494629
ADFGVX,Encryption,50,5000,100.0,3.972940444946289
ADFGVX,Decryption,50,5000,100.0,4.693899154663086
ADFGVX,Encryption,2,10000,142.0,7.126898765563965
ADFGVX,Decryption,2,10000,142.0,9.80825424194336
ADFGVX,Encryption,4,10000,142.0,7.017784118652344
ADFGVX,Decryption,4,10000,142.0,9.712543487548828
ADFGVX,Encryption,6,10000,142.0,7.2640180587768555
ADFGVX,Decryption,6,10000,142.0,10.298075675964355
ADFGVX,Encryption,8,10000,142.0,7.2780561447143555
ADFGVX,Decryption,8,10000,142.0,9.903063774108887
ADFGVX,Encryption,10,10000,142.0,7.369742393493652
ADFGVX,Decryption,10,10000,142.0,9.403777122497559
ADFGVX,Encryption,20,10000,142.0,7.104239463806152
ADFGVX,Decryption,20,10000,142.0,8.06093692779541
ADFGVX,Encryption,50,10000,142.0,7.447404861450195
ADFGVX,Decryption,50,10000,142.0,6.804976463317871
